X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE,RESUNITS,CONSTRUCTVALUE,PROPINFOVALUE_WARD
596486.250000002,4798682.5,6355,812 ROBINSON ST.   ,M9 Multi-Res (Part 9),24-007045,2024/04/15 00:00:00+00,2024/08/19 00:00:00+00,Renovation (No ZC Reqd),Fourplex,Final,,0,5000,2
596476.437480003,4798756.0,6356,815 ROBINSON ST.   ,M9 Multi-Res (Part 9),23-023869,2023/12/22 00:00:00+00,2024/04/22 00:00:00+00,Renovation (No ZC Reqd),Apartment,Final,,0,3390,2
598986.344060002,4801295.74818,6357,3511 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,23-010981,2023/06/08 00:00:00+00,2023/07/19 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,14000,4
598668.562520002,4800952.5,6359,3389 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,25-004508,2025/03/14 00:00:00+00,2025/04/29 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,15000,4
598747.141100002,4801053.12421,6360,3425 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,22-017586,2022/08/15 00:00:00+00,2022/09/21 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-392/22,0,315000,4
598907.469710003,4801241.62728,6361,3491 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,23-015542,2023/08/08 00:00:00+00,2023/08/24 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,100000,4
598930.107870002,4801255.48065,6362,3497 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,23-003567,2023/03/03 00:00:00+00,2023/03/20 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-639/22,0,350000,4
598891.062520002,4801153.5,6363,3472 ROCKWOOD DR.   ,SO Other Single Detached Dwelling,23-014356,2023/07/21 00:00:00+00,2023/08/09 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,15390.6,4
600896.878870002,4801946.26883,6368,4445 ROGERS RD.   ,SO Other Single Detached Dwelling,24-001289,2024/01/23 00:00:00+00,2024/03/13 00:00:00+00,Renovation,Single Detached Dwelling,Issued,ZC-846/23,0,500000,4
600999.412700002,4802044.77305,6370,4481 ROGERS RD.   ,SO Other Single Detached Dwelling,23-003273,2023/02/28 00:00:00+00,2023/03/27 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,12000,4
601078.687520002,4802057.0,6371,4500 ROGERS RD.   ,PL Plumbing,24-009919,2024/05/21 00:00:00+00,2024/06/05 00:00:00+00,External Plumbing - New,Single Detached Dwelling,Final,,,5085,4
594889.996340002,4800721.00936,6373,1465 ROLLING CRT.   ,SO Other Single Detached Dwelling,23-017641,2023/09/07 00:00:00+00,2023/09/21 00:00:00+00,New,Accessory Building,Final,ZC-222/23,0,30000,3
594970.737400002,4806005.06344,6374,3350 ROMA AVE.   ,SO Other Single Detached Dwelling,25-014878,2025/08/07 00:00:00+00,2025/08/19 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,15000,6
594914.632800003,4806014.74712,6375,3360 ROMA AVE.   ,SO Other Single Detached Dwelling,25-008608,2025/05/16 00:00:00+00,2025/06/20 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-469/25,1,55000,6
602507.912580002,4803644.00668,6376,5514 ROMANWOOD CRES.   ,PL Plumbing,25-017116,2025/09/09 00:00:00+00,2025/09/26 00:00:00+00,Internal Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,11752,5
602444.437480003,4803642.0,6377,5519 ROMANWOOD CRES.   ,SO Other Single Detached Dwelling,23-022077,2023/11/20 00:00:00+00,2024/05/13 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-044/23,0,200000,5
602452.222810002,4803697.63636,6381,5524 ROMANWOOD CRES.   ,SO Other Single Detached Dwelling,25-014080,2025/07/28 00:00:00+00,2025/08/11 00:00:00+00,Demolition -Building,Detached Garage,Final,,,15000,5
598250.000000002,4805950.0,6385,5228 ROME CRES.   ,SO Other Single Detached Dwelling,25-014633,2025/08/05 00:00:00+00,2025/08/27 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,75000,5
598472.937480003,4799690.5,6386,534 ROSEDALE CRES.   ,SO Other Single Detached Dwelling,23-006729,2023/04/20 00:00:00+00,2023/05/10 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,,0,200000,4
598460.437480003,4799703.0,6387,540 ROSEDALE CRES.   ,PL Plumbing,24-021455,2024/10/30 00:00:00+00,2024/11/05 00:00:00+00,Internal Plumbing - New,Single Detached Dwelling,Final,,,4000,4
599354.437480003,4799037.0,6393,242 ROSELAND CRES.   ,PL Plumbing,24-000092,2024/01/02 00:00:00+00,2024/01/16 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Issued,,,14000,4
599406.210340003,4799024.00376,6394,245 ROSELAND CRES.   ,SO Other Single Detached Dwelling,24-003717,2024/03/01 00:00:00+00,2024/04/05 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-920/23,0,750000,4
599406.210340003,4799024.00376,6395,245 ROSELAND CRES.   ,PL Plumbing,24-009340,2024/05/13 00:00:00+00,2024/05/22 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,9000,4
599146.875000002,4806937.0,6400,5669 ROSEVILLE CRT.   ,SO Other Single Detached Dwelling,21-024075,2022/07/19 00:00:00+00,2022/08/08 00:00:00+00,Repair (No ZC Reqd),Single Detached Dwelling,Final,,0,0,5
599115.812480003,4806966.0,6402,5663 ROSEVILLE CRT.   ,SO Other Single Detached Dwelling,25-019078,2026/01/22 00:00:00+00,2026/02/11 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,,0,0,5
599115.812480003,4806966.0,6403,5663 ROSEVILLE CRT.   ,SO Other Single Detached Dwelling,25-019078,2025/10/06 00:00:00+00,2025/10/14 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,,0,80000,5
599115.812480003,4806966.0,6404,5663 ROSEVILLE CRT.   ,DS Designated Structure,24-016506,2024/08/16 00:00:00+00,2024/09/06 00:00:00+00,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Issued,,,30891,5
599078.375000002,4806908.5,6406,5652 ROSEVILLE CRT.   ,SO Other Single Detached Dwelling,26-004285,2026/03/09 00:00:00+00,2026/04/28 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-072/26,1,50000,5
599060.812480003,4806952.5,6407,5655 ROSEVILLE CRT.   ,SO Other Single Detached Dwelling,25-004444,2025/03/14 00:00:00+00,2025/03/26 00:00:00+00,New (No ZC Reqd),Attached Deck,Final,,0,10000,5
596572.875000002,4798130.0,6408,715 ROSS ST.   ,PL Plumbing,26-006435,2026/04/07 00:00:00+00,2026/04/14 00:00:00+00,Backwater Valve,Single Detached Dwelling,Issued,,,14000,2
593107.187520002,4800662.5,6409,1265 ROSSEAU PL.   ,DS Designated Structure,23-014182,2023/07/19 00:00:00+00,2024/01/30 00:00:00+00,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Final,,,30750,1
593184.000000002,4800671.0,6410,1276 ROSSEAU PL.   ,SO Other Single Detached Dwelling,23-007436,2023/05/01 00:00:00+00,2023/05/16 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,20000,1
598945.778170003,4799199.78136,6417,360 ROSSMORE BLVD.   ,SO Other Single Detached Dwelling,24-003326,2024/02/26 00:00:00+00,2024/03/27 00:00:00+00,New,Attached Deck,Final,ZC-803/23,0,100000,4
599602.026700002,4800628.42519,6418,452 ROTHESAY PL.   ,SF New Single Detached Dwelling,23-021565,2024/05/09 00:00:00+00,2024/06/04 00:00:00+00,New,Single Detached Dwelling,Final,ZC-510/23,0,0,4
599602.026700002,4800628.42519,6419,452 ROTHESAY PL.   ,SF New Single Detached Dwelling,23-021565,2023/11/09 00:00:00+00,2024/02/14 00:00:00+00,New,Single Detached Dwelling,Final,ZC-510/23,1,700000,4
596808.801650003,4802556.0023,6423,1331 ROXBOROUGH CRES.   ,SO Other Single Detached Dwelling,25-021983,2025/11/19 00:00:00+00,2026/01/30 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-881/25,0,101260,4
596634.250000002,4802645.5,6425,1391 ROXBOROUGH CRES.   ,PL Plumbing,23-020555,2023/10/24 00:00:00+00,2023/11/03 00:00:00+00,External Plumbing - Alter/Replace,Single Detached Dwelling,Final,,,6000,4
595283.377380002,4800551.06273,6426,1354 ROYAL DR.   ,SO Other Single Detached Dwelling,25-004672,2025/03/19 00:00:00+00,2025/04/16 00:00:00+00,New,Accessory Dwelling Units,Issued,ZC-612/24,1,53000,3
595259.602850002,4800567.13591,6427,1364 ROYAL DR.   ,SO Other Single Detached Dwelling,25-016551,2025/09/02 00:00:00+00,2025/09/17 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-718/25,0,10000,3
595626.558680003,4800267.36664,6428,1237 ROYAL DR.   ,PL Plumbing,25-013016,2025/07/14 00:00:00+00,2025/07/24 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,15925,3
595615.558680003,4800277.86664,6429,1241 ROYAL DR.   ,SO Other Single Detached Dwelling,25-016834,2025/09/05 00:00:00+00,2025/11/21 00:00:00+00,New,Accessory Dwelling Units,Final,ZC-685/25,1,50000,3
595615.558680003,4800277.86664,6430,1241 ROYAL DR.   ,PL Plumbing,24-024156,2024/12/11 00:00:00+00,2024/12/18 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,8200,3
599584.875000002,4800355.0,6431,3432 RUBENS CRT.   ,PL Plumbing,24-021439,2024/10/29 00:00:00+00,2024/10/31 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,2800,4
599694.051390002,4800620.76715,6435,3509 RUBENS CRT.   ,PL Plumbing,24-018246,2024/09/12 00:00:00+00,2024/09/13 00:00:00+00,Internal Plumbing - New,Single Detached Dwelling,Final,,,7571,4
596007.137570002,4802336.78606,6436,1483 RUSHOLME CRES.   ,SO Other Single Detached Dwelling,25-023139,2025/12/02 00:00:00+00,2026/02/18 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-682/25,0,560000,4
595791.502420003,4802274.77601,6437,1525 RUSHOLME CRES.   ,SO Other Single Detached Dwelling,23-010908,2023/06/08 00:00:00+00,2023/06/29 00:00:00+00,New,Attached Deck,Final,ZC-188/23,0,40000,4
598036.625000002,4806698.5,6438,2200 RUSSET CRES.   ,DS Designated Structure,23-020177,2023/10/17 00:00:00+00,2023/11/16 00:00:00+00,Dish Antenna/Solar Collector(No ZC Reqd),Single Detached Dwelling,Issued,,,10000,5
595270.861330003,4801350.22908,6439,2331 RUTH DENE CRES.   ,PL Plumbing,25-008073,2025/05/09 00:00:00+00,2025/05/16 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,8000,3
595323.788330003,4801367.89444,6440,2343 RUTH DENE CRES.   ,PL Plumbing,25-019326,2025/10/09 00:00:00+00,2025/10/10 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,8000,3
595577.540520002,4805990.65012,6441,4276 RYAN LANE   ,SO Other Single Detached Dwelling,22-015687,2022/07/25 00:00:00+00,2022/10/12 00:00:00+00,Addition,Single Detached Dwelling,Final,ZC-092/22,0,100000,6
595541.486960002,4806027.0584,6442,4284 RYAN LANE   ,SO Other Single Detached Dwelling,25-014438,2025/07/31 00:00:00+00,2025/12/08 00:00:00+00,Renovation,Single Detached Dwelling,Issued,,0,52096,6
595525.441560002,4805945.37716,6443,4267 RYAN LANE   ,SO Other Single Detached Dwelling,23-003258,2024/01/31 00:00:00+00,2024/03/15 00:00:00+00,New,Accessory Dwelling Units,Final,,0,0,6
595525.441560002,4805945.37716,6444,4267 RYAN LANE   ,SO Other Single Detached Dwelling,23-003258,2023/02/27 00:00:00+00,2023/11/03 00:00:00+00,New,Accessory Dwelling Units,Final,,1,50000,6
595532.090200002,4805966.12596,6445,4271 RYAN LANE   ,SO Other Single Detached Dwelling,25-019286,2025/10/08 00:00:00+00,2025/10/28 00:00:00+00,New,Attached Deck,Final,ZC-837/25,0,10000,6
599032.562520002,4800412.0,6446,3334 RYERSON RD.   ,SO Other Single Detached Dwelling,26-000112,2026/01/02 00:00:00+00,2026/01/30 00:00:00+00,Renovation,Single Detached Dwelling,Issued,,0,200000,4
599097.125000002,4800472.0,6448,3354 RYERSON RD.   ,SO Other Single Detached Dwelling,25-023463,2025/12/08 00:00:00+00,2026/04/21 00:00:00+00,New,Accessory Dwelling Units,Issued,,1,70000,4
596439.927320003,4797659.81619,6450,1249 SABLE DR.   ,SO Other Single Detached Dwelling,26-002825,2026/02/17 00:00:00+00,2026/03/23 00:00:00+00,New,Attached Deck,Final,,0,19000,2
596329.324800002,4797538.16199,6451,1229 SABLE DR.   ,SO Other Single Detached Dwelling,23-001225,2023/01/20 00:00:00+00,2023/02/07 00:00:00+00,New,Attached Deck,Issued,,0,5000,2
596364.375590002,4797467.88522,6453,1217 SABLE DR.   ,SO Other Single Detached Dwelling,22-013415,2022/06/28 00:00:00+00,2022/07/05 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,34000,2
601461.000000002,4803614.5,6454,5322 SALEM RD.   ,SO Other Single Detached Dwelling,24-009591,2024/05/16 00:00:00+00,2024/06/19 00:00:00+00,Renovation,Single Detached Dwelling,Final,ZC-115/24,0,52000,5
601601.810510002,4803705.94277,6455,5351 SALEM RD.   ,PL Plumbing,24-018030,2024/09/09 00:00:00+00,2024/09/13 00:00:00+00,Backwater Valve,Single Detached Dwelling,Final,,,7175,5
601755.034710002,4803555.85634,6456,5375 SALEM RD.   ,SO Other Single Detached Dwelling,23-021328,2023/11/07 00:00:00+00,2023/11/22 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,7500,5
593077.375000002,4799840.5,6458,2108 SALISBURY CRT.   ,SO Other Single Detached Dwelling,23-003407,2023/03/02 00:00:00+00,2023/03/22 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,450000,1
593062.118080002,4799885.23349,6459,2118 SALISBURY CRT.   ,SO Other Single Detached Dwelling,23-003584,2023/03/06 00:00:00+00,2023/05/01 00:00:00+00,Addition,Single Detached Dwelling,Final,,0,188389.8,1
596369.312480003,4803767.5,6460,2152 SALMA CRES.   ,SO Other Single Detached Dwelling,24-023969,2024/12/10 00:00:00+00,2025/01/06 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,20000,6
596369.312480003,4803767.5,6461,2152 SALMA CRES.   ,SO Other Single Detached Dwelling,25-021230,2025/11/06 00:00:00+00,2025/12/08 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Issued,,0,53000,6
596203.573520002,4803730.0431,6462,2122 SALMA CRES.   ,SO Other Single Detached Dwelling,23-007447,2023/05/01 00:00:00+00,2023/05/16 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,75000,6
